data_type,metric,comparison_type,encoding,method1,method2,p_value,p_value_bonferroni,winner,mean_method1,mean_method2,significant,significant_bonferroni
CHANGEseq,spearman_after_inv_trans,Backend_pairwise,OneHot5Channel,CatBoost,DecisionTree,3.592882836369721e-13,1.0778648509109163e-12,CatBoost,0.11622151047243022,0.0031961014090171806,True,True
CHANGEseq,spearman_after_inv_trans,Backend_pairwise,OneHotVstack,XGBoost,CatBoost,6.520862099343625e-19,1.9562586298030876e-18,CatBoost,0.0807752598238957,0.11565643248648587,True,True
CHANGEseq,spearman_after_inv_trans,Backend_pairwise,OneHotVstack,XGBoost,DecisionTree,7.392769239955965e-09,2.2178307719867895e-08,XGBoost,0.0807752598238957,0.028179348042333806,True,True
CHANGEseq,spearman_after_inv_trans,Backend_pairwise,OneHotVstack,CatBoost,DecisionTree,3.989178102249673e-11,1.1967534306749018e-10,CatBoost,0.11565643248648587,0.028179348042333806,True,True
CHANGEseq,spearman_after_inv_trans,Backend_pairwise,kmer,XGBoost,CatBoost,6.391333096148062e-17,1.9173999288444188e-16,CatBoost,0.09872712165755163,0.10541539061316993,True,True
CHANGEseq,spearman_after_inv_trans,Backend_pairwise,kmer,XGBoost,DecisionTree,1.067917554493226e-17,3.203752663479678e-17,XGBoost,0.09872712165755163,0.026547375574796358,True,True
CHANGEseq,spearman_after_inv_trans,Backend_pairwise,kmer,CatBoost,DecisionTree,5.9821694962746335e-18,1.79465084888239e-17,CatBoost,0.10541539061316993,0.026547375574796358,True,True
CHANGEseq,spearman_after_inv_trans,Backend_pairwise,LabelEncodingPairwise,XGBoost,CatBoost,1.6403128352662267e-19,4.92093850579868e-19,CatBoost,0.09093344103548393,0.11779087122079958,True,True
CHANGEseq,spearman_after_inv_trans,Backend_pairwise,LabelEncodingPairwise,XGBoost,DecisionTree,4.470002199789718e-18,1.3410006599369153e-17,DecisionTree,0.09093344103548393,0.13145412797039668,True,True
CHANGEseq,spearman_after_inv_trans,Backend_pairwise,LabelEncodingPairwise,CatBoost,DecisionTree,1.2105038921360939e-10,3.6315116764082813e-10,DecisionTree,0.11779087122079958,0.13145412797039668,True,True
CHANGEseq,spearman_after_inv_trans,Backend_pairwise,bulges,XGBoost,CatBoost,5.582156250641428e-15,1.6746468751924285e-14,CatBoost,0.11502457138619383,0.11978377916698316,True,True
CHANGEseq,spearman_after_inv_trans,Backend_pairwise,bulges,XGBoost,DecisionTree,2.09232210047112e-07,6.27696630141336e-07,XGBoost,0.11502457138619383,0.034488802858450934,True,True
CHANGEseq,spearman_after_inv_trans,Backend_pairwise,bulges,CatBoost,DecisionTree,1.4827324560030555e-07,4.4481973680091664e-07,CatBoost,0.11978377916698316,0.034488802858450934,True,True
CHANGEseq,spearman_after_inv_trans,Backend_pairwise,MM,XGBoost,CatBoost,1.282979094381681e-17,3.848937283145043e-17,CatBoost,0.09872712165755163,0.10560437492882223,True,True
CHANGEseq,spearman_after_inv_trans,Backend_pairwise,MM,XGBoost,DecisionTree,1.1173656452646669e-12,3.3520969357940006e-12,XGBoost,0.09872712165755163,0.05218930108040887,True,True
CHANGEseq,spearman_after_inv_trans,Backend_pairwise,MM,CatBoost,DecisionTree,1.4316810969208493e-13,4.295043290762548e-13,CatBoost,0.10560437492882223,0.05218930108040887,True,True
CHANGEseq,spearman_after_inv_trans,Encoding_xgb,Multiple,NPM,OneHot,2.487611907733975e-18,6.96531334165513e-17,NPM,,,True,True
CHANGEseq,spearman_after_inv_trans,Encoding_xgb,Multiple,NPM,OneHot5Channel,4.129288147952721e-17,1.1562006814267618e-15,NPM,,,True,True
CHANGEseq,spearman_after_inv_trans,Encoding_xgb,Multiple,NPM,OneHotVstack,3.642616660210945e-19,1.0199326648590645e-17,NPM,,,True,True
CHANGEseq,spearman_after_inv_trans,Encoding_xgb,Multiple,NPM,kmer,5.972925649550654e-15,1.6724191818741833e-13,NPM,,,True,True
CHANGEseq,spearman_after_inv_trans,Encoding_xgb,Multiple,NPM,LabelEncodingPairwise,2.612597502765214e-19,7.3152730077426e-18,NPM,,,True,True
CHANGEseq,spearman_after_inv_trans,Encoding_xgb,Multiple,NPM,bulges,0.6634741531790977,1.0,No diff,,,False,False
CHANGEseq,spearman_after_inv_trans,Encoding_xgb,Multiple,NPM,MM,5.972925649550654e-15,1.6724191818741833e-13,NPM,,,True,True
CHANGEseq,spearman_after_inv_trans,Encoding_xgb,Multiple,OneHot,OneHot5Channel,0.0008044126832443376,0.022523555130841453,OneHot5Channel,,,True,True
CHANGEseq,spearman_after_inv_trans,Encoding_xgb,Multiple,OneHot,OneHotVstack,3.6076411267699365e-05,0.0010101395154955822,OneHot,,,True,True
CHANGEseq,spearman_after_inv_trans,Encoding_xgb,Multiple,OneHot,kmer,6.220302044411456e-05,0.0017416845724352076,kmer,,,True,True
CHANGEseq,spearman_after_inv_trans,Encoding_xgb,Multiple,OneHot,LabelEncodingPairwise,0.3668232132191036,1.0,No diff,,,False,False
CHANGEseq,spearman_after_inv_trans,Encoding_xgb,Multiple,OneHot,bulges,2.695270394376686e-18,7.54675710425472e-17,bulges,,,True,True
CHANGEseq,spearman_after_inv_trans,Encoding_xgb,Multiple,OneHot,MM,6.220302044411456e-05,0.0017416845724352076,MM,,,True,True
CHANGEseq,spearman_after_inv_trans,Encoding_xgb,Multiple,OneHot5Channel,OneHotVstack,8.162695347357542e-10,2.2855546972601115e-08,OneHot5Channel,,,True,True
CHANGEseq,spearman_after_inv_trans,Encoding_xgb,Multiple,OneHot5Channel,kmer,0.008880453593247298,0.24865270061092437,kmer,,,True,False
CHANGEseq,spearman_after_inv_trans,Encoding_xgb,Multiple,OneHot5Channel,LabelEncodingPairwise,0.0026155341137133995,0.07323495518397519,OneHot5Channel,,,True,False
CHANGEseq,spearman_after_inv_trans,Encoding_xgb,Multiple,OneHot5Channel,bulges,2.3371110534358824e-17,6.543910949620471e-16,bulges,,,True,True
CHANGEseq,spearman_after_inv_trans,Encoding_xgb,Multiple,OneHot5Channel,MM,0.008880453593247298,0.24865270061092437,MM,,,True,False
CHANGEseq,spearman_after_inv_trans,Encoding_xgb,Multiple,OneHotVstack,kmer,4.656147139947576e-12,1.303721199185321e-10,kmer,,,True,True
CHANGEseq,spearman_after_inv_trans,Encoding_xgb,Multiple,OneHotVstack,LabelEncodingPairwise,0.0014176179154937304,0.03969330163382445,LabelEncodingPairwise,,,True,True
CHANGEseq,spearman_after_inv_trans,Encoding_xgb,Multiple,OneHotVstack,bulges,2.0456853684471272e-19,5.727919031651956e-18,bulges,,,True,True
CHANGEseq,spearman_after_inv_trans,Encoding_xgb,Multiple,OneHotVstack,MM,4.656147139947576e-12,1.303721199185321e-10,MM,,,True,True
CHANGEseq,spearman_after_inv_trans,Encoding_xgb,Multiple,kmer,LabelEncodingPairwise,1.9783839009221897e-05,0.0005539474922582131,kmer,,,True,True
CHANGEseq,spearman_after_inv_trans,Encoding_xgb,Multiple,kmer,bulges,1.192454211753688e-14,3.3388717929103264e-13,bulges,,,True,True
CHANGEseq,spearman_after_inv_trans,Encoding_xgb,Multiple,kmer,MM,,,No diff,,,False,False
CHANGEseq,spearman_after_inv_trans,Encoding_xgb,Multiple,LabelEncodingPairwise,bulges,2.1490497486456183e-19,6.017339296207732e-18,bulges,,,True,True
CHANGEseq,spearman_after_inv_trans,Encoding_xgb,Multiple,LabelEncodingPairwise,MM,1.9783839009221897e-05,0.0005539474922582131,MM,,,True,True
CHANGEseq,spearman_after_inv_trans,Encoding_xgb,Multiple,bulges,MM,1.192454211753688e-14,3.3388717929103264e-13,bulges,,,True,True
CHANGEseq,spearman_after_inv_trans,Encoding_catboost,Multiple,NPM,OneHot,2.2534903255098625e-14,6.309772911427615e-13,NPM,,,True,True
CHANGEseq,spearman_after_inv_trans,Encoding_catboost,Multiple,NPM,OneHot5Channel,1.2530063882172441e-11,3.5084178870082833e-10,NPM,,,True,True
