data_type,metric,comparison_type,encoding,method1,method2,p_value,p_value_bonferroni,winner,mean_method1,mean_method2,significant,significant_bonferroni
CHANGEseq,aupr,Encoding_decision_tree,Multiple,LabelEncodingPairwise,MM,2.857471002332366e-14,8.000918806530625e-13,LabelEncodingPairwise,,,True,True
CHANGEseq,aupr,Encoding_decision_tree,Multiple,bulges,MM,1.9359063472300882e-19,5.420537772244247e-18,MM,,,True,True
CHANGEseq,auc,Backend_pairwise,NPM,XGBoost,CatBoost,0.053213635398486656,0.15964090619545995,No significant difference,0.9776229292836713,0.9780567865643501,False,False
CHANGEseq,auc,Backend_pairwise,NPM,XGBoost,DecisionTree,1.2785723680814605e-19,3.8357171042443814e-19,XGBoost,0.9776229292836713,0.4967388331785741,True,True
CHANGEseq,auc,Backend_pairwise,NPM,CatBoost,DecisionTree,1.2785723680814605e-19,3.8357171042443814e-19,CatBoost,0.9780567865643501,0.4967388331785741,True,True
CHANGEseq,auc,Backend_pairwise,OneHot,XGBoost,CatBoost,1.2848698171701401e-07,3.85460945151042e-07,CatBoost,0.9701646801821515,0.9739001678665633,True,True
CHANGEseq,auc,Backend_pairwise,OneHot,XGBoost,DecisionTree,1.2785723680814605e-19,3.8357171042443814e-19,XGBoost,0.9701646801821515,0.5446222219804848,True,True
CHANGEseq,auc,Backend_pairwise,OneHot,CatBoost,DecisionTree,1.2785723680814605e-19,3.8357171042443814e-19,CatBoost,0.9739001678665633,0.5446222219804848,True,True
CHANGEseq,auc,Backend_pairwise,OneHot5Channel,XGBoost,CatBoost,3.5811345400663064e-13,1.074340362019892e-12,CatBoost,0.972974098708064,0.976593990416567,True,True
CHANGEseq,auc,Backend_pairwise,OneHot5Channel,XGBoost,DecisionTree,1.2785723680814605e-19,3.8357171042443814e-19,XGBoost,0.972974098708064,0.5290272359744678,True,True
CHANGEseq,auc,Backend_pairwise,OneHot5Channel,CatBoost,DecisionTree,1.2785723680814605e-19,3.8357171042443814e-19,CatBoost,0.976593990416567,0.5290272359744678,True,True
CHANGEseq,auc,Backend_pairwise,OneHotVstack,XGBoost,CatBoost,3.919691441670236e-16,1.1759074325010708e-15,CatBoost,0.9620626426752611,0.9732240480783919,True,True
CHANGEseq,auc,Backend_pairwise,OneHotVstack,XGBoost,DecisionTree,1.3145084606842484e-19,3.943525382052745e-19,XGBoost,0.9620626426752611,0.5698520580844529,True,True
CHANGEseq,auc,Backend_pairwise,OneHotVstack,CatBoost,DecisionTree,1.3145084606842484e-19,3.943525382052745e-19,CatBoost,0.9732240480783919,0.5698520580844529,True,True
CHANGEseq,auc,Backend_pairwise,kmer,XGBoost,CatBoost,3.852794161574639e-06,1.1558382484723916e-05,XGBoost,0.9477900012782124,0.9463288619864756,True,True
CHANGEseq,auc,Backend_pairwise,kmer,XGBoost,DecisionTree,1.2785723680814605e-19,3.8357171042443814e-19,XGBoost,0.9477900012782124,0.6496646923171311,True,True
CHANGEseq,auc,Backend_pairwise,kmer,CatBoost,DecisionTree,1.2785723680814605e-19,3.8357171042443814e-19,CatBoost,0.9463288619864756,0.6496646923171311,True,True
CHANGEseq,auc,Backend_pairwise,LabelEncodingPairwise,XGBoost,CatBoost,0.001402855158348606,0.004208565475045818,XGBoost,0.9741171272342184,0.9732817027888985,True,True
CHANGEseq,auc,Backend_pairwise,LabelEncodingPairwise,XGBoost,DecisionTree,1.2785723680814605e-19,3.8357171042443814e-19,XGBoost,0.9741171272342184,0.8396967241712138,True,True
CHANGEseq,auc,Backend_pairwise,LabelEncodingPairwise,CatBoost,DecisionTree,1.2785723680814605e-19,3.8357171042443814e-19,CatBoost,0.9732817027888985,0.8396967241712138,True,True
CHANGEseq,auc,Backend_pairwise,bulges,XGBoost,CatBoost,0.15731925764667298,0.47195777294001895,No significant difference,0.9778017285412879,0.9782145918298305,False,False
CHANGEseq,auc,Backend_pairwise,bulges,XGBoost,DecisionTree,1.2785116740429776e-19,3.835535022128933e-19,XGBoost,0.9778017285412879,0.5040495193356036,True,True
CHANGEseq,auc,Backend_pairwise,bulges,CatBoost,DecisionTree,1.2785116740429776e-19,3.835535022128933e-19,CatBoost,0.9782145918298305,0.5040495193356036,True,True
CHANGEseq,auc,Backend_pairwise,MM,XGBoost,CatBoost,1.626561352997135e-05,4.8796840589914046e-05,XGBoost,0.9477900012782124,0.9465980019288736,True,True
